"통계분류","항목","단위","2016 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"20대","목욕탕","","1.5",".4",".7",".4",".2",".3",
"20대","종교시설","","1",".6","1","1.3",".5",".5",
"20대","도서관","","2.1","3.4","3.3","1.6","1.7","3.8",
"20대","학교시설","","4.4","3.6","4.6","2.7","2.1","2.8",
"20대","PC방","","5.2","9","6.9","7.7","4.7","5",
"20대","미용관리실","",".4",".9","1.6",".8",".5",".8",
"20대","캠핑장","","1.5",".1",".2",".8",".8","1.1",
"20대","기타실내체육시설","","","0","1.5","1.9","1.4","1.5",
"20대","골프장","","0",".1","","0",".1",".4",
"20대","주민자치센터","","0","0","0",".1","0",".1",
"20대","주제공원","",".3",".6",".1",".7","1",".5",
"20대","노인복지회관","","0","0","0","","","",
"20대","수영장","","1.1",".9",".6",".3",".3",".8",
"20대","대형서점","",".6",".6",".5",".2",".5","1.6",
"20대","학교운동장","","2.2","2.3","1.1",".8","1",".6",
"20대","국민체육센터","","1.8","1.4",".9",".7",".1",".6",
"20대","찜질방","",".2",".4",".7","",".1",".2",
"20대","생활문화센터","",".1",".1",".1","0","",".4",
"20대","공연장","","1.5","2.2",".3",".2",".5","1.2",
"20대","골프연습장","",".3",".2","0",".3",".1","",
"20대","운동경기장","","2.7","3.4",".7","1.7","1.9","1.1",
"20대","당구장","","2","1.2","1","1",".6",".6",
"20대","노래방","","1.3","1.9","1.9","1.8",".8","2.1",
"20대","학원","","1.7","3.5","1.2","1.3","1.4","1.2",
"20대","사설문화센터","",".6","1.2",".3",".3",".4",".7",
"20대","기타실외체육시설","","","0",".4",".7",".8",".4",
"20대","낚시터","","0",".1",".2",".1",".1",".1",
"20대","역사/문화유적지","","1.1",".5",".4",".8",".5",".1",
"20대","삼림욕장","",".3",".3","",".1",".3",".5",
"20대","유원지","",".9",".9",".5",".9",".5",".3",
"20대","기타 실외공간","","1.3",".2","2.1","1.5","1.4",".4",
"20대","박물관","",".5",".5",".2",".2",".3",".6",
"20대","전시관","",".4",".1",".2",".6",".2",".6",
"20대","테마파크","","1",".5",".2",".3",".6",".4",
"20대","사회복지관","",".1",".1",".4",".1",".1","",
"20대","해수욕장","","1.1",".2",".7",".6",".6",".7",
"20대","미술관","",".1",".1",".1",".3",".5",".4",
"20대","문예회관","",".2",".1",".1","","","",
"20대","리조트","",".1",".1",".7","",".1",".4",
"20대","복합 체육관","","1.5",".8",".8",".7",".4",".5",
"20대","오락장","",".1","0",".2",".1",".2",".2",
"20대","복합문화거리","","2.2","2.6","2.6","1.6",".6",".6",
"20대","문화의 집","","0",".1","","","",".2",
"20대","평생 학습관","","0","0",".3","0","","",
"20대","클럽","",".3",".4",".4",".1","",".1",
"20대","식물원","",".1","0","",".1",".2",".2",
"20대","기념관","","0","0",".2","","",".1",
"20대","여성회관","","0","0",".1","0","","",
"20대","만화방","",".3",".3",".1",".1",".6",".3",
"20대","농어촌 복합 체육시설","","0","0","",".1","","",
"20대","동물원","",".2","0","0",".2",".3","",
"20대","청소년수련관","",".7","0",".2",".1","","",
"20대","지방문화원","",".1","0","","0",".1","",
"20대","수족관","","0","0","",".4","",".1",
"20대","경마/경정/경륜장","",".1","0","","","0","",
"20대","농산어촌체험장","",".1","0","","","","",
"20대","스키장","","0",".2","",".1","",".1",
"20대","빙상경기장","","0",".3","0",".1","","",
"20대","커피숍","","16.8","15","","","","",
"30대","표본수","","1707","1560","1643","1644","1492","1433",
"30대","아파트 내 (집주변) 공터","","7.8","4.8","8.7","9.7","16.2","8.2",
"30대","카페","","","0","9.9","12.6","14.8","18.4",
"30대","식당","","10","13.2","7.6","13.2","11.3","10.7",
"30대","생활권 공원","","6.4","5.5","4.9","8.6","9.2","4.7",
"30대","대형마트","","6.1","4.5","6.7","6.9","6.4","4.9",
"30대","영화관","","5.5","8.5","12.1","4.3","4.2","6.5",
"30대","헬스클럽","","5.9","8.6","6.7","5","3","4.9",
"30대","재래시장","","1","1.1","1.2","1.2","1",".4",
"30대","쇼핑몰","","4.4","3.5","4.9","3.7","3.9","5.2",
"30대","산","","2","2.1","1.7","2.2","1.7","2",
"30대","기타 실내공간","","2.8","2.4",".2","1.7","2.7","1.7",
"30대","마을회관","","0",".1","","",".1","",
"30대","목욕탕","","2.7","1.3","2.5","1.3",".4",".7",
"30대","종교시설","","1.7","2.7","1.3",".9",".6",".9",
"30대","도서관","",".4",".3",".7",".5",".4","1.9",
"30대","학교시설","",".7",".1",".1",".2","",".4",
"30대","PC방","","1.4","2.6","1.8","2.1","1.6","1.7",
"30대","미용관리실","",".7",".6","1.1","1.4",".9","1.5",
"30대","캠핑장","","1.7","1.2",".8","1.5","2","3",
"30대","기타실내체육시설","","","0","2.8","1.9","1.4","1.5",
"30대","골프장","",".1",".3",".4",".8",".8",".9",
"30대","주민자치센터","",".9",".5",".7",".1",".1",".4",
"30대","주제공원","",".6",".8",".5",".6","1","1.2",
"30대","노인복지회관","",".1","0",".3","","0","",
"30대","수영장","","2.6","1.7","1.5",".8","1.6","1.3",
"30대","대형서점","",".1",".2",".4",".1",".5","1.6",
"30대","학교운동장","",".8","1.5","1.1",".7",".3",".2",
"30대","국민체육센터","","1.3","1.4","1",".9",".5",".5",
"30대","찜질방","","1.3",".5","1",".3",".3",".2",
"30대","생활문화센터","",".5",".5",".6",".4",".3",".3",
"30대","공연장","",".9","2.6",".4",".7",".6",".7",
"30대","골프연습장","",".5",".9",".6",".9",".7",".8",
"30대","운동경기장","","1.8","2.6","1.7","1.7","1.4",".9",
"30대","당구장","","1.5",".9","1.1",".6",".6",".7",
"30대","노래방","",".9","1.2",".4",".4",".2",".2",
"30대","학원","",".4","1.2",".3",".1",".9",".3",
"30대","사설문화센터","",".7",".6",".2",".4",".2",".6",
"30대","기타실외체육시설","","","0",".4",".4",".6",".4",
"30대","낚시터","",".7",".6",".9",".4",".8",".2",
"30대","역사/문화유적지","","1.1",".5","1.5","1.5",".4",".8",
"30대","삼림욕장","",".4",".2",".1",".6",".4",".2",
"30대","유원지","","2.7",".6","1.2","1.8","1.2",".9",
"30대","기타 실외공간","",".9",".4","1.4","1.9","1.1",".5",
"30대","박물관","",".8",".4",".7",".8",".4",".5",
"30대","전시관","",".1","0",".2",".2",".5",".7",
"30대","테마파크","","1.5","1.6",".9",".8",".6",".8",
"30대","사회복지관","",".3",".1",".4",".1",".2","",
"30대","해수욕장","",".9",".1",".4",".7",".3",".5",
"30대","미술관","",".2",".2",".1",".2",".3",".4",
"30대","문예회관","",".3",".1",".1",".3","",".4",
"30대","리조트","",".4",".2",".4",".1",".1",".6",
"30대","복합 체육관","","1.5","3",".5",".4",".3",".2",
"30대","오락장","",".2",".1",".3","","0",".8",
"30대","복합문화거리","",".7","1.6","1.1",".3",".6",".2",
"30대","문화의 집","","0","0","0","","",".5",
"30대","평생 학습관","","0",".2",".3",".2","",".2",
"30대","클럽","",".4","0","0",".1","",".4",
"30대","식물원","",".2",".2",".2","0","",".4",
"30대","기념관","","0","0",".3","","",".2",
"30대","여성회관","",".1",".2",".2",".1",".1","",
"30대","만화방","",".2","0",".2","0","","",
"30대","농어촌 복합 체육시설","","0",".5","","0","0",".2",
"30대","동물원","","0","0",".1",".5",".1",".1",
"30대","청소년수련관","",".1",".3","0","","","",
"30대","지방문화원","",".1",".1",".1","","","",
"30대","수족관","","0",".1","",".1","",".1",
"30대","경마/경정/경륜장","",".1","0","","","","",
"30대","농산어촌체험장","",".2","0","",".1","","",
"30대","스키장","",".2",".1",".1","",".1","",
"30대","빙상경기장","","0","0","","",".1","",
"30대","커피숍","","9.5","7.9","","","","",
"40대","표본수","","1991","1998","1885","1888","1782","1717",
"40대","아파트 내 (집주변) 공터","","8","5.9","10.3","10.9","16.7","11.4",
"40대","카페","","","0","4.5","7.4","8.3","13.5",
"40대","식당","","12.4","13.2","8.2","12.8","12","12.2",
"40대","생활권 공원","","6.6","7","5.7","9","11.5","5.9",
"40대","대형마트","","6.9","6.7","10.3","9","8","9",
"40대","영화관","","4.2","6.8","10.7","3.1","1.4","4.9",
"40대","헬스클럽","","4.4","7.3","4.7","4.4","3","3.7",
"40대","재래시장","","1.5","1.8","1.8","2.6","4.2","1.8",
"40대","쇼핑몰","","4.1","2.3","3.7","2.7","2.9","3.7",
"40대","산","","4.3","4","2.7","3.1","3","3",
"40대","기타 실내공간","","3.5","2.3",".2","1.2","3.2","2.6",
"40대","마을회관","",".1",".5",".3",".1",".1",".2",
"40대","목욕탕","","3.6","3.1","2.9","2.4",".6","1.7",
"40대","종교시설","","2.7","3","3.5","2","1","1.4",
"40대","도서관","",".4",".2","1","1",".5",".7",
"40대","학교시설","",".1",".2",".1",".1","",".2",
"40대","PC방","",".5",".8",".5",".2",".7",".3",
"40대","미용관리실","",".8","1.1","1.5",".8","1.1","1.5",
"40대","캠핑장","",".6",".7",".9","1.5","1.5","2.3",
"40대","기타실내체육시설","","","0","2.3","1.9","1.9",".7",
"40대","골프장","",".8",".9",".9",".9","1","1.9",
"40대","주민자치센터","","1.3","1",".8",".4",".3",".4",
"40대","주제공원","",".7",".9",".4","1.2","1.1","1.1",
"40대","노인복지회관","",".1","0","","","","",
"40대","수영장","","1.9","1.9","1","1.3",".9",".8",
"40대","대형서점","",".5",".2",".7",".3",".3",".6",
"40대","학교운동장","",".7","1.1",".9","1","1.1",".2",
"40대","국민체육센터","","2","2.7","1.6",".9",".2","1.3",
"40대","찜질방","","1.1",".5","1.5",".4",".4",".7",
"40대","생활문화센터","",".6",".3",".5",".5","","1.3",
"40대","공연장","",".6","1.6",".4",".4",".1",".6",
"40대","골프연습장","","2.5","2",".5","1.2","1.4","1.2",
